Data,GHI_kWh_m2_dia,Temp_Media_C,Temp_Min_C,Temp_Max_C
2022-01-01,3.9509,21.33,17.8,25.27
2022-01-02,4.475,23.06,18.9,28.02
2022-01-03,4.2677,23.38,19.36,28.38
2022-01-04,4.625,22.88,20.72,26.49
2022-01-05,5.0383,22.66,19.38,26.66
2022-01-06,4.315,21.73,18.51,25.47
2022-01-07,2.6119,21.12,18.3,25.14
2022-01-08,4.2314,21.68,17.38,27.71
2022-01-09,2.4072,20.58,16.45,26.41
2022-01-10,3.3715,21.84,17.44,26.25
2022-01-11,4.23,20.29,17.96,22.38
2022-01-12,4.4602,21.41,17.08,25.65
2022-01-13,7.295,23.08,18.33,27.61
2022-01-14,7.109,23.43,19.82,27.75
2022-01-15,5.1389,22.4,19.77,25.25
2022-01-16,4.2547,22.46,18.77,27.67
2022-01-17,6.6089,22.93,18.34,27.67
2022-01-18,7.4714,23.93,18.72,28.57
2022-01-19,6.4039,24.18,19.71,28.33
2022-01-20,7.5713,24.65,19.4,29.76
2022-01-21,7.2295,24.97,19.72,30.2
2022-01-22,7.4321,24.96,19.24,30.51
2022-01-23,7.4635,25.55,20.92,30.16
2022-01-24,7.1141,25.17,20.87,30.08
2022-01-25,7.6718,24.25,21.52,28.42
2022-01-26,6.3238,23.49,19.98,28.01
2022-01-27,6.6859,23.77,19.2,28.66
2022-01-28,6.1382,23.03,19.7,26.34
2022-01-29,2.6777,21.87,19.69,24.94
2022-01-30,2.1329,21.9,19.34,25.43
2022-01-31,2.9393,21.31,18.85,24.73
2022-02-01,3.5215,21.83,18.79,25.92
2022-02-02,3.3046,21.96,19.06,25.54
2022-02-03,4.7628,21.54,19.09,25.65
2022-02-04,5.6897,21.9,18.79,25.21
2022-02-05,4.3927,23.4,19.15,27.89
2022-02-06,4.6342,22.55,19.92,25.76
2022-02-07,3.1334,22.28,17.92,26.29
2022-02-08,5.0095,21.27,17.09,26.81
2022-02-09,4.2965,20.87,14.63,27.49
2022-02-10,4.686,22.32,16.13,28.24
2022-02-11,5.0225,22.81,17.46,27.87
2022-02-12,6.0377,22.95,18.76,28.15
2022-02-13,6.2623,23.46,19.14,28.34
2022-02-14,5.725,24.12,19.23,29.89
2022-02-15,6.1714,23.43,18.01,29.0
2022-02-16,6.9526,22.94,17.59,28.97
2022-02-17,5.7792,22.83,18.4,27.34
2022-02-18,4.0138,20.83,17.98,24.24
2022-02-19,4.5758,22.06,16.63,27.03
2022-02-20,5.7379,22.49,17.48,27.14
2022-02-21,5.881,23.29,17.88,28.31
2022-02-22,6.8834,24.75,18.94,30.45
2022-02-23,7.0697,24.13,19.16,28.57
2022-02-24,6.6379,24.08,20.49,29.16
2022-02-25,6.8738,24.53,19.3,30.99
2022-02-26,6.6773,24.17,19.98,29.79
2022-02-27,7.2742,24.21,19.25,29.22
2022-02-28,6.8342,24.47,19.3,29.5
2022-03-01,6.8302,23.95,19.59,28.76
2022-03-02,7.3978,23.86,17.86,29.76
2022-03-03,6.883,24.16,18.48,29.55
2022-03-04,6.9679,23.96,18.9,29.08
2022-03-05,6.3058,24.01,18.89,28.82
2022-03-06,6.7243,24.11,19.02,28.88
2022-03-07,6.978,24.37,19.81,29.37
2022-03-08,6.3014,24.33,19.9,29.22
2022-03-09,5.0626,24.32,19.78,29.42
2022-03-10,5.9669,23.75,19.24,28.48
2022-03-11,5.2944,23.43,19.74,28.28
2022-03-12,4.4806,24.15,19.85,28.49
2022-03-13,5.1194,22.7,19.67,25.91
2022-03-14,3.9941,22.55,18.48,27.01
2022-03-15,5.0734,23.6,19.59,28.22
2022-03-16,5.9935,24.09,20.43,29.05
2022-03-17,5.9827,23.93,19.41,28.55
2022-03-18,6.3401,24.89,20.04,30.25
2022-03-19,5.785,23.14,20.54,26.17
2022-03-20,3.1817,21.85,19.09,26.37
2022-03-21,5.0647,20.98,16.97,26.09
2022-03-22,6.9588,20.61,14.66,27.15
2022-03-23,5.7874,21.89,16.44,28.25
2022-03-24,6.4255,23.4,17.83,29.4
2022-03-25,5.8735,24.31,19.62,29.5
2022-03-26,4.1364,23.31,19.13,27.75
2022-03-27,4.5967,23.05,19.75,27.47
2022-03-28,4.6507,22.84,19.49,27.07
2022-03-29,6.3571,23.39,18.9,28.66
2022-03-30,5.6143,23.57,18.34,29.03
2022-03-31,4.6346,22.92,18.2,28.13
2022-04-01,2.4449,19.83,16.9,24.25
2022-04-02,4.8048,21.54,16.83,27.56
2022-04-03,5.3964,23.03,18.22,28.74
2022-04-04,5.4516,23.5,18.37,29.08
2022-04-05,4.7731,23.92,19.36,29.72
2022-04-06,5.3868,23.08,18.51,29.72
2022-04-07,5.0148,22.95,17.86,29.83
2022-04-08,4.6939,24.01,18.41,30.23
2022-04-09,4.6954,23.0,20.25,27.6
2022-04-10,5.5202,22.82,19.01,28.43
2022-04-11,5.2392,22.81,17.82,29.2
2022-04-12,3.9504,23.17,18.3,28.95
2022-04-13,4.937,23.09,18.7,28.5
2022-04-14,4.8094,21.8,17.48,27.16
